Index,Question: Synonyms and Antonyms,Correct Answer,Wrong Answers,,Reference Text,Question: Reading Comprehension,Correct Answer,Wrong Answers,,Question / Instruction: Grammar,Correct Answer,Wrong Answers,,Question / Instruction: Spelling,Correct Answer,Wrong Answers,Explanation,,Question / Instruction: Vocabulary and Paragraph Arangement,Correct Answer,Wrong Answers
37,37. Which word means the opposite of ferocious?,docile,"savage, explosive, noble",,Stocks and bonds are often risky investments.,37. Fact or Opinion?,Fact,Opinion,,"37. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",Ursula has broke one of your plates.,"The sun rose from behind the mountains.


Don’t spend too much time on that project.


no mistakes",,37. My favorite [_____] is peach pie with vanilla ice cream.,dessert,desert,Dessert is an after-dinner treat; a desert is an arid land.,,37. The ________ in the mountains was peaceful and still.,air,"heir


ear


ere"
38,38. Which word means the opposite of grueling?,effortless,"casual, exhausting, empty",,"Savings accounts and CDs are fully insured and provide steady, secure interest on your money.",38. Fact or Opinion?,Fact,Opinion,,"38. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.","After you sat down to eat dinner, the phone rung.","She believed in keeping a positive attitude.


Sign all three copies of the form.


no mistakes",,"38. While nuclear energy is efficient, storing nuclear [_____] is always a problem.",waste,waist,Waste means material that is rejected during a process; the waist is the middle of the body.,,38. Take the ________ to the second floor.,stairs,"steers


stares"
39,39. Which word means the opposite of forsake?,cherish,"admit, abandon, submit",,"The use of computer equipment and software to create high quality printing for newsletters, business cards, letterhead, and brochures is called Desktop Publishing, or DTP. The most important part of any DTP project is planning. Before you begin, you should know your intended audience, the message you want to communicate, and what form your message will take.",39. This paragraph best supports the statement that,the first stage of any proposed DTP project should be organization and design.,"DTP is one way to become acquainted with a new business audience.


computer software is continually being refined to produce more high quality printing.


the planning stage of any DTP project should not include talking with the intended audience.",,"39. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",She missed the bus and arrives late.,"The Adirondack Mountains are in New York.


President Carter returned control of the Panama Canal to Panama.


no mistakes",,39. The price for the carpet was [_____].,fair,fare,Fair means equitable; a fare is a transportation fee.,,39. She boarded a ________ to San Francisco last night.,plane,plain
40,40. What word is the opposite of restrain?,liberate,"control, maintain, distract",,"Many office professionals have expressed an interest in replacing the currently used keyboard, known as the QWERTY keyboard, with a keyboard that can keep up with technological changes and make offices more efficient. The best choice is the Dvorak keyboard. Studies have shown that people using the Dvorak keyboard can type 20–30% faster and are able to cut their error rate in half. Dvorak puts vowels and other frequently used letters right under the fingers—on the home row—where typists make 70% of their keystrokes.",40. This paragraph best supports the statement that the Dvorak keyboard,is more efficient than the QWERTY.,"has more keys right under the typists’ fingers than the QWERTY.


is favored by more typists than the QWERTY.


is—on average—70% faster than the QWERTY.",,"40. Find the sentence that has a mistake in grammar or usage. If there are no mistakes, select choice d.",The childrens books are over there.,"There is not enough paper in the printer for the entire document.


What’s the weather forecast for today?


no mistakes",,40. This is the [_____] of the new art museum.,site,"sight


cite",Site refers to a place; cite means to refer to; sight is the ability to see.,,40. He had a reputation for being very ___ and self-centered.,vain,"vane


vein"
41,41. ABSORB,repel,"acquire, consume, assist",,"Every year, Americans use over one billion sharp objects to administer health care in their homes. These sharp objects include lancets, needles, and syringes. If not disposed of in puncture-resistant containers, they can injure sanitation workers. Sharp objects should be disposed of in hard plastic or metal containers with secure lids. The containers should be clearly marked and should be puncture resistant.",41. This paragraph best supports the idea that sanitation workers can be injured if they,come in contact with sharp objects that have not been placed in secure containers.,"do not place sharp objects in puncture-resistant containers.


are careless with sharp objects such as lancets, needles, and syringes in their homes.


do not mark the containers they pick up with a warning that those containers contain sharp objects.",,"41. Choose the sentence that does not use the correct form of the commonly confused word. If there are no mistakes, select choice d.",Some analysts think the stock market has seen it’s best days.,"If it’s nice weather tomorrow, I plan to go for a hike.


It’s usually a good idea to purchase life insurance.


no mistakes",,41. Come [_____] the park later this evening to see the sunset.,by,"buy


bye",By means near; bye is used to express farewell; buy means to purchase.,,"41. Arrange the paragraph:

A. One effective way is to diversify his funds to different investments like real estate, stocks and money instruments like bonds and trust funds.

B. It is always best to expand money to different investment wheels.

C. A wise investor must not put all his eggs in one basket.

D. He should always consider the risks involved in investing his money.",4. CDBA,"1. CBAD


2. CBDA


3. CDAB"
42,42. CRITICAL,trivial,"inimical, judgmental, massive",,"One of the missions of the Peace Corps is to bring trained men and women to work in countries who need trained professionals in certain fields. People who work for the Peace Corps are volunteers. However, in order to keep the Peace Corps dynamic and vital, no staff member can work for the agency for more than five years.",42. This paragraph best supports the statement that Peace Corps employees,are hired for a limited term of employment.,"are highly intelligent people.


must train for about five years.


have both academic and work experience.",,"42. Choose the sentence that does not use the correct form of the commonly confused word. If there are no mistakes, select choice d.",Save all of your files in to or three folders.,"She spoke too quickly to the group in the lobby.


Can you attend this morning’s meeting too?


no mistakes",,42. This is the [_____] book George has read.,fourth,forth,Fourth refers to the number four; forth means forward.,,"42. Arrange the paragraph:

A. It is very vital to have social media presence however personal blogs serve as web domains.

B. Most people including celebrities and businessmen have blogs nowadays.

C. Therefore, building them will help anyone in promoting himself or his business.

D. Apparently blogs are like our offices only they are in the internet.",1. BDAC,"2. BADC


3. BACD


4. BDCA"
43,43. NIMBLE,sluggish,"sturdy, thoughtless, relaxed",,"More and more office workers telecommute from offices in their own homes. The benefits of telecommuting allow for greater productivity and greater flexibility. Telecommuters produce an average of 20% more than if they were to work in an office. In addition, their flexible schedules allow them to balance their families with their work responsibilities.",43. This paragraph best supports the statement that telecommuters,get more work done in a given time period than workers who travel to the office.,"produce a better quality work product than workers who travel to the office.


are more flexible in their ideas than workers who travel to the office.


would do 20% more work if they were to work in an office.",,"43. Choose the sentence that does not use the correct form of the commonly confused word. If there are no mistakes, select choice d.",When will you bring you’re pictures to work?,"It is your responsibility to arrange the details.


If you’re planning to attend, please let me know in advance.


no mistakes",,43. The acoustics in the auditorium made it easy for the audience to [_____] the melodic sounds of the soloist.,hear,here,"Hear means to perceive sound with the ear; here is a location, place, or position.",,"43. Arrange the paragraph:

A. The basic steps in building a website are easy to remember and registering a domain name is the usual priority.

B. Designing a layout will come after that.

C. Finally, adding more content and social media presence are required to keep your site active.

D. Then you need a hosting provider to host your site’s content in the World Wide Web.",2. ADBC,"1. ABCD


3. ACBD


4. ADCB"
44,44. TRANQUIL,agitated,"explicit, assertive, composed",,"Close-up images of Mars by the Mariner 9 probe indicated networks of valleys that looked like the stream beds on Earth. These images also implied that Mars once had an atmosphere that was thick enough to trap the Sun’s heat. If this is true, something must have happened to Mars billions of years ago that stripped away the planet’s atmosphere.",44. This paragraph best supports the statement that,Mars now has little or no atmosphere.,"Mars once had a thicker atmosphere than Earth does.


the Mariner 9 probe took the first pictures of Mars.


Mars is closer to the Sun than Earth is.",,"44. Choose the sentence that does not use the correct form of the commonly confused word. If there are no mistakes, select choice d.",They’re are only two ways to handle that situation.,"Only their supervisor can answer those questions.


There is a phone call for you.


no mistakes",,"44. Our choice to stay in the comfortable, cozy [_____] house was a good decision.",guest,guessed,A guest is one who is a recipient of hospitality. Guessed is the past tense of guess.,,"44. Arrange the paragraph:

A. Speaking in English every day is also proven effective.

B. Another way is watching English movies and TV shows particularly with English subtitles.

C. Reading articles in books, newspapers, and magazines is just among the helpful ways.

D. There are many ways to improve and develop English proficiency.",1. DCBA,"2. DACB


3. DABC


4. DCAB"
45,45. SPRIGHTLY,dull,"eager, lofty, local",,"It is a myth that labor shortages today center mostly on computer jobs. Although it is true that the lack of computer-related skills accounts for many of the problems in today’s job market, there is a lack of skilled labor in many other fields. There is a shortage of uniformed police officers in many cities and a shortage of trained criminal investigators in some rural areas. These jobs may utilize computer skills, but they are not essentially computer jobs.",45. This paragraph best supports the statement that,"there is a shortage of skilled workers in a variety of fields, including police work.","people with computer skills are in demand in police and criminal investigator jobs.


unemployment in computer-related fields is not as widespread as some people think.


trained criminal investigators are often underpaid in rural areas.",,"45. Choose the sentence that does not use the correct form of the commonly confused word. If there are no mistakes, select choice d.",no mistakes,"They are the ones who deserve all the credit.


This is the house that I told you about.


Marie sent a gift to her grandmother, who is in the hospital.",,45. Have dinner with us at the restaurant; we’ll meet you [_____].,there,"they're


their",There refers to a place; their is a possessive pronoun; they’re is a contraction for they are.,,"45. Arrange the paragraph:

A. Others don’t realize yet what to pursue because they have many dreams.

B. Finding the right course in college is one of the most challenging decisions anyone can make.

C. Some people want to pursue their dreams ever since they were just little.

D. Indeed destiny is a matter of choice.",4. BCAD,"1. BDAC


2. BCDA


3. BADC"
46,46. INFANTILE,mature,"despicable, adolescent, perpetual",,"The competitive civil service system is designed to give candidates fair and equal treatment and to ensure that federal applicants are hired based on objective criteria. Hiring has to be based solely on a candidate’s knowledge, skills, and abilities—sometimes abbreviated as KSA—and not on external factors such as race, religion, or sex. Whereas employers in the private sector can hire employees for subjective reasons, federal employers must be able to justify their decision with objective evidence of candidate qualification.",46. This paragraph best supports the statement that,the civil service strives to hire on the basis of a candidate’s abilities.,"hiring in the private sector is inherently unfair.


KSA is not as important as test scores to federal employers.


federal hiring practices are simpler than those employed by the private sector.",,46. Choose the sentence that is correct in both grammar and punctuation.,"The trip was scheduled for Friday, and the family was excited.","The trip was scheduled for Friday the family was excited.


The trip was scheduled for. Friday the family was excited.


The trip, was scheduled for Friday, and the family was excited.",,46. May I have a [_____] of cheese?,piece,peace,A piece is a portion; peace means calm or quiet.,,"46. Arrange the paragraph:

A. Many innovations without proven results and follow up evaluation are educational wastages.

B. One wonders in the final analysis if these changes have been deeply rooted on basic problems of the people they serve.

C. Some curriculum changes were mere fads without foreseeable achievements.

D. What we need are innovations that overcome the mis-education of the young.",4. CBAD,"1. BACD


2. ACDB


3. ABCD"
47,47. IMPULSIVE,cautious,"secure, mandatory, rash",,"It is well known that the world urgently needs adequate distribution of food, but adequate distribution of medicine is just as urgent. Medical expertise and medical supplies need to be redistributed throughout the world so that people in emerging nations will have proper medical care.",47. This paragraph best supports the statement that,many people who live in emerging nations are not receiving proper medical care.,"the majority of the people in the world have no medical care.


medical resources in emerging nations have diminished in the past few years.


not enough doctors give time and money to those in need of medical care.",,47. Choose the sentence that is correct in both grammar and punctuation.,"They finished their lunch, left the building, and returned at 1:30.","They finished their lunch. Left the building. And returned at 1:30.


They finished their lunch, left the building, and returns at 1:30.


They finished their lunch, left the building, and returning at 1:30.",,47. All children have the [_____] to an education.,right,"write


rite",A right is a privilege; to write is to put words on paper; a rite is a ceremonial ritual.,,"47. Arrange the paragraph:

A. By trying, man learns to solve his problems through satisfying acts and eliminate actions which are annoying.

B. He used a hungry cat in a puzzled box where it tried ways to get out in order to get to the food.

C. Edward C. Thorndike’s connectionism theory of learning establishes the trial and error way to learn.

D. He established the fact that like the cat, man too, learns by trial and error.",1. ACBD,"2. BACD


3. ACDB


4. ABCD"
48,48. AMIABLE,aloof,"dangerous, permissive, congenial",,"In the past, suggesting a gas tax has usually been considered a political blunder, but that does not seem to be the case today. Several states are promoting bills in their state legislatures that would cut income or property taxes and make up the revenue with taxes on fossil fuel.",48. This paragraph best supports the statement that,state legislators no longer fear increasing gas taxes.,"gas taxes produce more revenue than income taxes.


states with low income tax rates are increasing their gas taxes.


taxes on fossil fuels are more popular than property taxes.",,48. Choose the sentence that is correct in both grammar and punctuation.,"Searching for her keys, Kira knew she would be late.","Searching for her keys, Kira, knew she would be late.


Searching for her keys Kira knew she would be late.


Searching, for her keys and Kira knew she would be late.",,48. It is a good idea to exercise on a [_____] bicycle during inclement weather.,stationary,stationery,Stationary means standing still; stationery is writing paper.,,"48. Arrange the paragraph:

A. A responsive educational system should be directed towards regional cooperation.

B. Commonality of educational objectives should be replaced by better ways of achieving goals that fit the regional needs.

C. It is necessary to revolutionize the contemporary methodologies in the teaching-learning processes.

D. The educational goals should seek for a better way of experimentation in the teaching strategies and technologies.",2. ABDC,"1. ABCD


3. BCAD


4. DABC"
49,49. COMPETENT,inept,"incomplete, intense, massive",,"Whether you can accomplish a specific goal or meet a specific deadline depends first on how much time you need to get the job done. What should you do when the demands of the job exceed the time you have available? The best approach is to divide the project into smaller pieces. Different goals will have to be divided in different ways, but one seemingly unrealistic goal can often be accomplished by working on several smaller, more reasonable goals.",49. This paragraph best supports the statement that,the best way to complete projects is to make sure your goals are achievable.,"jobs often remain only partially completed because of lack of time.


the best way to tackle large projects is to problem-solve first.


the best approach to a demanding job is to delegate responsibility.",,49. Choose the sentence that is correct in both grammar and punctuation.,The longtime residents in the community were proud of their school district.,"The longtime residents in the community were proud of there school district.


The longtime residents in the community was proud of their school district.


The longtime residents in the community, were proud of their school district.",,"49. At the beach, we went digging for clams and [_____].",mussels,muscles,Mussels are marine animals; muscles are body tissues.,,"49. Arrange the paragraph:

A. Before, his religion was basically involved with rituals and ceremonies.

B. The religion of the teacher helps him in reducing his fears and uncertainties.

C. His religion responds to his needs for a means to allay fears about the uncertainty of events contrary to natural laws.

D. Religion is important because it provides spiritual nourishment for his total being.",3. DBCA,"1. ABCD


2. BACD


4. CBAD"
50,50. PROMOTE,curtail,"explicate, concede, remote",,"Before you begin to compose a business letter, sit down and think about your purpose for writing the letter. Do you want to request information, order a product, register a complaint, or apply for something? Do some brainstorming and gather information before you begin writing. Always keep your objective in mind.",50. This paragraph best supports the statement that,"for many different kinds of writing tasks, planning is an important first step.","business letters are frequently complaint letters.


brainstorming and writing take approximately equal amounts of time.


while some people plan ahead when they are writing a business letter, others do not.",,50. Choose the sentence that is correct in both grammar and punctuation.,"Lisa, Dara, and Amy wanted to work together on the committee.","Lisa Dara and Amy wants to work together on the committee.


Lisa, Dara, and Amy wanting to work together on the committee.


Lisa, Dara, and Amy have wants to work together on the committee.",,50. We [_____] the exit and had to turn around.,passed,past,Passed is the past tense of pass; past means a time gone by.,,"50. Arrange the paragraph:

A. While passport, airline tickets and valid IDs are required, proof of financial capacity may be required for visa application.

B. Many Filipinos rejoiced hearing that good news.

C. The Bureau of Immigration announced recently that proof of financial capacity is not a primary requirement at the airport.

D. Positive points go to the bureau for this.",1. CBAD,"2. CADB


3. CABD


4. CBDA"
