272,24 / 4 * 2 + 3 = _,15,"6, 12, 18, None of The Above"
273,The fraction equivalent to 0.75 is _,3/4,"1/2, 2/3, 4/5, None of The Above"
274,The sum of the angles in a quadrilateral is _,360 degrees,"180 degrees, 270 degrees, 90 degrees, None of The Above"
275,"If 7 apples cost 105 pesos, 1 apple costs _",15 pesos,"10 pesos, 20 pesos, 12 pesos, None of The Above"
276,A race car travelled for 2 1/2 hours with an average speed of 132 5/8 km per hour. Find the total distance it covered.,331 9/16 km,"264 5/16 km, 330 5/16 km, 135 1/8 km, None of The Above"
277,400 is what percent of 2000?,20%,"30%, 50%, 40%, 80%, None of The Above"
278,What percent of 8000 is 6000?,75%,"60%, 85%, 65%, 70%, None of The Above"
279,What percent of 2500 is 750?,30%,"50%, 40%, 20%, 80%, None of The Above"
280,780 is what percent of 7800?,10%,"20%, 26%, 16%, None of The Above"
281,3/4 is what part of 1 1/8?,2/3,"1 1/2, 5 5/6, 7/8, 4/6, None of The Above"
282,5/8 is what part of 3 3/4?,1/6,"2/12, 4/24, 1/8, 5/6, None of The Above"
283,30% of what number is 900?,3000,"270, 2700, 1800, 450, None of The Above"
284,850 is 40% of what number?,2125,"340, 6800, 5600, 212.5, None of The Above"
285,25% of what number is 600?,2400,"15,000, 25, 1200, 120, None of The Above"
286,300 is 75% of what number?,400,"700, 900, 1500, 2500, None of The Above"
287,1 1/4 is 3/4 of what number?,1 2/3,"2/3, 20/12, 1 4/6, 1 8/12, None of The Above"
288,1 1/5 of what number is 1 3/8?,1 7/48,"55/48, 1 13/20, 48/55, 11/24, None of The Above"
289,1/4 of what number is 2 1/6?,8 2/3,"52/6, 6/52, 8 4/6, 9 1/2, None of The Above"
290,"If -6/(a-3) = 3/(a+2), then a = _",-1/3,"1/3, 2, -1/2, 3, None of The Above"
291,"A special teacher has 400 units of 6% phosphoric acid solution, and an unlimited supply of 12% phosphoric acid solution. How many units of the latter must she add to the former to produce 10% phosphoric acid solution?",800,"500, 600, 700, None of The Above"
292,"2187, 729, 243, 81, 27, 9, _",3,"6, 4, 2, None of The Above"
293,"1, 4, 9, 16, 25, 36, 49, 64, _",81,"72, 75, 90, None of The Above"
294,The Greatest Common Factor of 36 and 54 is _,18,"6, 12, 9, None of The Above"
295,The sum of 1/2 + 8/4 + 6/12 is _,3,"15/12, 3/12, 3 1/12, None of The Above"
296,The decimal form of 3/4 % is _,0.0075,".075, .75, .00075, None of The Above"
297,1/4 in decimal is _,0.25,".025, 2.5, .0025, None of The Above"
298,The value of x in the equation 5x + 25 = 10 is _,-3,"5, 3, -5, None of The Above"
299,"If x = 8, the value of y in the equation 4x - 2y = 28 is _",2,"-4, -2, 4, None of The Above"
300,"Cathy scored 85, 87, 90, 95, and 100 in her Math exams; her average grade is _",91.4,"91.50, 92, 93.50, None of The Above"
301,"Letty drove at 50 mph for 2 hours, then 65 mph for 4 hours; the total distance is _",360 miles,"115 miles, 310 miles, 100 miles, None of The Above"
